rank,bookId,title,series,numberOfSeries,author,authorLastFirst,description,language,genres,characters,setting,coverImg,bookFormat,edition,pages,publisher,publishedYear,firstPublishYear,awards,rating,numRatings,ISBN,ISBN13
1,2767052,"The Hunger Games (The Hunger Games, #1)",The Hunger Games ,#1,Suzanne Collins,"Collins, Suzanne","In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and once girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.",English,"Young Adult, Fiction, Dystopia, Fantasy, Science Fiction, Romance, Adventure, Teen, Post Apocalyptic, Action","Katniss Everdeen, Peeta Mellark, Cato (Hunger Games), Primrose Everdeen, Gale Hawthorne, Effie Trinket, Haymitch Abernathy, Cinna, President Coriolanus Snow, Rue, Flavius, Lavinia (Hunger Games), Marvel, Glimmer, Clove, Foxface, Thresh, Greasy Sae, Madge Undersee, Caesar Flickerman, Claudius Templesmith, Octavia (Hunger Games), Portia (hunger Games)","District 12, Panem, Capitol, Panem, Panem (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052.jpg,Hardcover,First Edition,374,Scholastic Press,2008,2008,"Locus Award Nominee for Best Young Adult Book (2009), Georgia Peach Book Award (2009), Buxtehuder Bulle (2009), Golden Duck Award for Young Adult (Hal Clement Award) (2009), ""Grand Prix de lImaginaire Nominee for Roman jeunesse étranger (2010)"", Books I Loved Best Yearly (BILBY) Awards for Older Readers (2012), ""West Australian Young Readers Book Award (WAYRBA) for Older Readers (2010)"", ""Red House Childrens Book Award for Older Readers & Overall (2010)"", South Carolina Book Award for Junior and Young Adult Book (2011), Charlotte Award (2010), Colorado Blue Spruce Young Adult Book Award (2010), Teen Buckeye Book Award (2009), ""Pennsylvania Young Readers Choice Award for Young Adults (2010)"", Rhode Island Teen Book Award (2010), ""Dorothy Canfield Fisher Childrens Book Award (2010)"", Evergreen Teen Book Award (2011), Soaring Eagle Book Award (2009), Milwaukee County Teen Book Award Nominee (2010), Sakura Medal for Middle School Book (2010), Michigan Library Association Thumbs Up! Award (2009), Florida Teens Read (2009), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010), Iowa High School Book Award (2011), New Mexico Land of Enchantment Award for Young Adult (2011), Eliot Rosewater Indiana High School Book Award (2010), The Inky Awards for Silver Inky (2009), California Young Readers Medal for Young Adult (2011), Lincoln Award (2011), Kinderboekwinkelprijs (2010), Missouri Truman Readers Award (2011), CYBILS Award for Young Adult Fantasy & Science Fiction (2008), Literaturpreis der Jury der jungen Leser for Jugendbuch (2010), The Inky Awards Shortlist for Silver Inky (2009), Prix Et-lisez-moi (2011), Missouri Gateway Readers Award (2011), Oklahoma Sequoyah Award for High School and Intermediate (2011), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009), ""Rebecca Caudill Young Readers Book Award (2011)"", LovelyBooks Leserpreis for Fantasy (2009), LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009), Premi Protagonista Jove for Categoria 13-14 anys (2010)",4.33,6376780,0439023483,9780439023481
2,48855,The Diary of a Young Girl,,,"Anne Frank, Eleanor Roosevelt (Introduction), 郭清玲 (Translator), Barbara Mooyaart-Doubleday (Translator)","Frank, Anne","Discovered in the attic in which she spent the last years of her life, Anne Frank's remarkable diary has become a world classic—a powerful reminder of the horrors of war and an eloquent testament to the human spirit. In 1942, with the Nazis occupying Holland, a thirteen-year-old Jewish girl and her family fled their home in Amsterdam and went into hiding. For the next two years, until their whereabouts were betrayed to the Gestapo, the Franks and another family lived cloistered in the “Secret Annexe” of an old office building. Cut off from the outside world, they faced hunger, boredom, the constant cruelties of living in confined quarters, and the ever-present threat of discovery and death. In her diary Anne Frank recorded vivid impressions of her experiences during this period. By turns thoughtful, moving, and surprisingly humorous, her account offers a fascinating commentary on human courage and frailty and a compelling self-portrait of a sensitive and spirited young woman whose promise was tragically cut short.--back cover",English,"Nonfiction, Classics, History, Biography, Memoir, Historical, Holocaust, Autobiography, War, World War II","Anne Frank, Otto Frank, Petronella van Daan, Hermann van Daan, Margot Frank, Peter van Daan, Edith Frank, Miep Gies, Albert Dussel, Anne Frank",Amsterdam (Netherlands),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560816565l/48855.jpg,Mass Market Paperback,US / CAN Edition,283,Bantam,1993,1947,Luisterboek Award Nominee (2008),4.15,2741134,,
3,1934,Little Women,Little Women ,#1,Louisa May Alcott,"Alcott, Louisa May","Generations of readers young and old, male and female, have fallen in love with the March sisters of Louisa May Alcott's most popular and enduring novel, Little Women. Here are talented tomboy and author-to-be Jo, tragically frail Beth, beautiful Meg, and romantic, spoiled Amy, united in their devotion to each other and their struggles to survive in New England during the Civil War.It is no secret that Alcott based Little Women on her own early life. While her father, the freethinking reformer and abolitionist Bronson Alcott, hobnobbed with such eminent male authors as Emerson, Thoreau, and Hawthorne, Louisa supported herself and her sisters with ""woman's work,” including sewing, doing laundry, and acting as a domestic servant. But she soon discovered she could make more money writing. Little Women brought her lasting fame and fortune, and far from being the ""girl's book” her publisher requested, it explores such timeless themes as love and death, war and peace, the conflict between personal ambition and family responsibilities, and the clash of cultures between Europe and America.",English,"Classics, Fiction, Historical Fiction, Young Adult, Romance, Historical, Literature, Childrens, Classic Literature, Novels","Marmee, Meg March, Beth March, Amy March, Laurie Laurence, Mr. Laurence, Professor Bhaer, Mr. March, Hannah Brown, Aunt March, John Brooke, Jo March","Concord, Massachusetts (United States), Massachusetts (United States), London, England, New England (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475l/1934._SY475_.jpg,Paperback,,449,Signet Classics,2004,1880,,4.09,1681583,0451529308,9780451529305
4,11870085,The Fault in Our Stars,,,John Green,"Green, John","Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love.",English,"Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Teen, Coming Of Age, Drama, Novels, Love","Hazel Grace Lancaster, Augustus Waters, Isaac","Indianapolis, Indiana (United States), Amsterdam (Netherlands)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360206420l/11870085.jpg,Hardcover,,313,Dutton Books,2012,2012,"Georgia Peach Book Award (2013), Buxtehuder Bulle (2012), Odyssey Award (2013), Audie Award for Teens (2013), ""West Australian Young Readers Book Award (WAYRBA) for Older Readers (2013)"", ""Pennsylvania Young Readers Choice Award for Young Adults (2013)"", Rhode Island Teen Book Award (2014), Evergreen Teen Book Award (2015), Soaring Eagle Book Award (2014), Milwaukee County Teen Book Award (2013), Indies Choice Book Award for Young Adult (2013), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2013), Amelia Elizabeth Walden Award (2013), Dioraphte Jongerenliteratuurprijs for vertaald boek en publieksprijs (2013), The Inky Awards for Silver Inky (2012), California Young Readers Medal for Young Adult (2015), Lincoln Award (2014), Luisterboek Award (2015), Goodreads Choice Award for Young Adult Fiction (2012) and Nominee for Best of the Best  (2018), Green Mountain Book Award (2014), The Inky Awards Shortlist for Silver Inky (2012), ""Louisiana Teen Readers Choice (2015)"", Missouri Gateway Readers Award (2015), Oklahoma Sequoyah Award for High School (2015), Alabama Author Award for Young Adult (2013), Premio El Templo de las Mil Puertas for Mejor novela extranjera independiente (2012), FAB Award Nominee (2014), Premi Protagonista Jove for Categoria 15-16 anys (2013)",4.21,3550714,,
5,8127,Anne of Green Gables,Anne of Green Gables ,#1,L.M. Montgomery,"Montgomery, L.M.","As soon as Anne Shirley arrives at the snug white farmhouse called Green Gables, she is sure she wants to stay forever . . . but will the Cuthberts send her back to to the orphanage? Anne knows she's not what they expected—a skinny girl with fiery red hair and a temper to match. If only she can convince them to let her stay, she'll try very hard not to keep rushing headlong into scrapes and blurting out the first thing that comes to her mind. Anne is not like anyone else, the Cuthberts agree; she is special—a girl with an enormous imagination. This orphan girl dreams of the day when she can call herself Anne of Green Gables.",English,"Classics, Fiction, Young Adult, Childrens, Historical Fiction, Middle Grade, Historical, Audiobook, Canada, Coming Of Age","Marilla Cuthbert, Matthew Cuthbert, Diana Barry, Gilbert Blythe, Rachel Lynde, Anne Shirley, Jane Andrews, Ruby Gillis, Josie Pye, Prissy Andrews, Mr. Phillips, Mrs. Allan","Avonlea, Prince Edward Island (Canada), Prince Edward Island (Canada)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390789015l/8127.jpg,Paperback,,320,Signet Book,2003,1908,,4.26,727685,0451528824,9780451528827
6,28187,The Lightning Thief,Percy Jackson and the Olympians ,#1,Rick Riordan,"Riordan, Rick","Percy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. And lately, being away at boarding school is only getting worse - Percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. When Percy's mom finds out, she knows it's time that he knew the truth about where he came from, and that he go to the one place he'll be safe. She sends Percy to Camp Half Blood, a summer camp for demigods (on Long Island), where he learns that the father he never knew is Poseidon, God of the Sea. Soon a mystery unfolds and together with his friends—one a satyr and the other the demigod daughter of Athena - Percy sets out on a quest across the United States to reach the gates of the Underworld (located in a recording studio in Hollywood) and prevent a catastrophic war between the gods.",English,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Childrens, Urban Fantasy, Greek Mythology, Magic","Annabeth Chase, Grover Underwood, Luke Castellan, Zeus (God), Dionysus (mythology), Ares (god), Hades, Poseidon (God), Chiron, Percy Jackson","New York City, New York (United States), Montauk, New York (United States), New Jersey (United States), St. Louis, Missouri (United States), Las Vegas, Nevada (United States), Long Island, New York (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609l/28187.jpg,Paperback,First edition,375,Disney Hyperion Books,2006,2005,"""Young Readers Choice Award (2008)"", Books I Loved Best Yearly (BILBY) Awards for Older Readers (2011), South Carolina Book Award for Junior Book Award (2008), Grand Canyon Reader Award for Tween Book (2008), Nene Award (2008), ""Massachusetts Childrens Book Award (2008)"", ""Pennsylvania Young Readers Choice Award for Grades 6-8 (2008)"", Rhode Island Teen Book Award Nominee (2007), Sunshine State Young Readers Award for Grades 6-8 (2007), ""Pacific Northwest Library Association Young Readers Choice Award for Intermediate (2008)"", Iowa Teen Award (2009), Lincoln Award Nominee (2009), Oklahoma Sequoyah Award for YA (2008), ""Rebecca Caudill Young Readers Book Award (2009)""",4.26,1992300,0786838655,9780786838653
7,3636,The Giver,The Giver ,#1,Lois Lowry,"Lowry, Lois",Twelve-year-old Jonas lives in a seemingly ideal world. Not until he is given his life assignment as the Receiver does he begin to understand the dark secrets behind this fragile community.,English,"Young Adult, Fiction, Classics, Dystopia, Science Fiction, Fantasy, School, Childrens, Middle Grade, Read For School","Rosemary (Lois Lowry), Jonas (Lois Lowry), The Giver (Lois Lowry), Gabriel (Lois Lowry), Asher (Lois Lowry), Fiona (Lois Lowry), Mother (Lois Lowry), Father (Lois Lowry), The Chief Elder (Lois Lowry), Lily (Lois Lowry)",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342493368l/3636.jpg,Paperback,,208,Ember,2006,1993,"Newbery Medal (1994), ""Mythopoeic Fantasy Award Nominee for Childrens Literature (1994)"", Golden Duck Award for Young Adult (Hal Clement Award) (1994), Garden State Book Award for Teen Fiction Grades 6-8 (1996), ""Buckeye Childrens Book Award for Grade 6-8 (1997)"", Grand Canyon Reader Award for Teen Book (1995), Maryland Black-Eyed Susan Book Award for Grade 6-9 (1995), Golden Sower Award for Young Adult (1995), ""Pennsylvania Young Readers Choice Award for Grades 3-8 (1995)"", Soaring Eagle Book Award Nominee (1996), ""Pacific Northwest Library Association Young Readers Choice Award for Senior (1996)"", Boston Globe-Horn Book Award Nominee for Fiction (1993), New Mexico Land of Enchantment Award (1997), Eliot Rosewater Indiana High School Book Award (1997), ""William Allen White Childrens Book Award (1996)"", Wyoming Indian Paintbrush Nominee (1996), ""NSK Neustadt Prize for Childrens Literature Nominee (2013)"", Oklahoma Sequoyah Award for YA (1996), ""Rebecca Caudill Young Readers Book Award (1996)"", Hea Lasteraamat (2010), Premi Protagonista Jove for Categoria 13-14 anys (2016), Margaret A. Edwards Award (2007)",4.13,1785054,0385732554,9780385732550
8,256683,City of Bones,The Mortal Instruments ,#1,Cassandra Clare,"Clare, Cassandra","When fifteen-year-old Clary Fray heads out to the Pandemonium Club in New York City, she hardly expects to witness a murder― much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons. Then the body disappears into thin air. It's hard to call the police when the murderers are invisible to everyone else and when there is nothing―not even a smear of blood―to show that a boy has died. Or was he a boy?This is Clary's first meeting with the Shadowhunters, warriors dedicated to ridding the earth of demons. It's also her first encounter with Jace, a Shadowhunter who looks a little like an angel and acts a lot like a jerk. Within twenty-four hours Clary is pulled into Jace's world with a vengeance when her mother disappears and Clary herself is attacked by a demon. But why would demons be interested in ordinary mundanes like Clary and her mother? And how did Clary suddenly get the Sight? The Shadowhunters would like to know...",English,"Fantasy, Young Adult, Paranormal, Romance, Urban Fantasy, Fiction, Vampires, Supernatural, Angels, Magic","Alexander ""Alec"" Lightwood, Jonathan ""Jace"" Wayland, Valentine Morgenstern, Isabelle ""Izzy"" Sophia Lightwood, Magnus Bane, Jocelyn Fray, Luke Garroway, Clarissa ""Clary"" Fray, Simon Lewis","New York City, New York (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315l/256683._SY475_.jpg,Hardcover,,485,Margaret K. McElderry Books,2007,2007,"Locus Award Nominee for Best First Novel (2008), Georgia Peach Book Award Nominee for Honor book (2009), South Carolina Book Award Nominee for Young Adult Book Award (2010), ""Pacific Northwest Library Association Young Readers Choice Award (2010)"", Lincoln Award (2010)",4.1,1617465,1416914285,9781416914280
9,22628,The Perks of Being a Wallflower,,,Stephen Chbosky,"Chbosky, Stephen","standing on the fringes of life...offers a unique perspective. But there comes a time to seewhat it looks like from the dance floor.This haunting novel about the dilemma of passivity vs. passion marks the stunning debut of a provocative new voice in contemporary fiction: The Perks of Being A WALLFLOWERThis is the story of what it's like to grow up in high school. More intimate than a diary, Charlie's letters are singular and unique, hilarious and devastating. We may not know where he lives. We may not know to whom he is writing. All we know is the world he shares. Caught between trying to live his life and trying to run from it puts him on a strange course through uncharted territory. The world of first dates and mixed tapes, family dramas and new friends. The world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that the perfect song on that perfect drive to feel infinite.Through Charlie, Stephen Chbosky has created a deeply affecting coming-of-age story, a powerful novel that will spirit you back to those wild and poignant roller coaster days known as growing up.(back cover)",English,"Young Adult, Fiction, Contemporary, Coming Of Age, Romance, Realistic Fiction, LGBT, Classics, Mental Health, Teen","Bill, Patrick Grogan, Charlie Scorsoni (A is for Alibi), Sam Turner, Michael Dobson, Mary-Elizabeth, Candace Grogan","Pittsburgh, Pennsylvania (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520093244l/22628.jpg,Paperback,1st MTV/Pocket Books trade paperback edition (US/CAN),213,MTV Books/Pocket Books,1999,1999,,4.2,1250155,,
10,18131,A Wrinkle in Time,Time Quintet ,#1,Madeleine L'Engle,"L'Engle, Madeleine","It was a dark and stormy night.Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure—one that will threaten their lives and our universe.Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's classic Time Quintet.",English,"Fantasy, Fiction, Classics, Young Adult, Science Fiction, Childrens, Middle Grade, Time Travel, Adventure, Science Fiction Fantasy","Meg Murry, Charles Wallace Murry, ""Calvin OKeefe"", Dr. Kate Murry, Sandy Murry, Dennys Murry, Mrs. Whatsit, Mrs. Who, Mrs. Which",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507963312l/33574273._SX318_.jpg,Paperback,Movie Tie-In,218,Square Fish,1973,1962,"Newbery Medal (1963), ""Dorothy Canfield Fisher Childrens Book Award Nominee (1964)"", Oklahoma Sequoyah Award (1965), Margaret A. Edwards Award (1998)",4,1051535,0440498058,9780440498056
